[info] welcome to sbt 1.5.5 (Ubuntu Java 11.0.24)
[info] loading settings for project nucleusrv-build from metals.sbt,plugins.sbt ...
[info] loading project definition from /home/owais/nucleusrv/project
[info] loading settings for project root from build.sbt ...
[info] set current project to nucleusrv (in build file:/home/owais/nucleusrv/)
[info] TopTest:
checking
ClkCycle:         34, pc_rdata: 00000074, pc_wdata: 00000078, insn: 007bdc13, mode: 3, rs1_addr: 23, rs1_rdata: 00007fff, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 24, rd_wdata: 000000ff, mem_addr: 000000ff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         35, pc_rdata: 00000078, pc_wdata: 0000007c, insn: 039bd793, mode: 3, rs1_addr: 23, rs1_rdata: 00007fff, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         36, pc_rdata: 0000007c, pc_wdata: 00000080, insn: 00fc6c33, mode: 3, rs1_addr: 24, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 24, rd_wdata: 000000ff, mem_addr: 000000ff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         37, pc_rdata: 00000080, pc_wdata: 00000084, insn: 007c5c93, mode: 3, rs1_addr: 24, rs1_rdata: 000000ff, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 25, rd_wdata: 00000001, mem_addr: 00000001, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         38, pc_rdata: 00000084, pc_wdata: 00000088, insn: 039c5793, mode: 3, rs1_addr: 24, rs1_rdata: 000000ff, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         39, pc_rdata: 00000088, pc_wdata: 0000008c, insn: 00fcecb3, mode: 3, rs1_addr: 25, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 25, rd_wdata: 00000001, mem_addr: 00000001, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         40, pc_rdata: 0000008c, pc_wdata: 00000090, insn: 007cdd13, mode: 3, rs1_addr: 25, rs1_rdata: 00000001, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 26, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         41, pc_rdata: 00000090, pc_wdata: 00000094, insn: 039cd793, mode: 3, rs1_addr: 25, rs1_rdata: 00000001, rs2_addr: 25, rs2_rdata: 00000001, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000001
ClkCycle:         42, pc_rdata: 00000094, pc_wdata: 00000098, insn: 00fd6d33, mode: 3, rs1_addr: 26, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 26, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         43, pc_rdata: 00000098, pc_wdata: 0000009c, insn: 007d5d93, mode: 3, rs1_addr: 26, rs1_rdata: 00000000, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 27, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
