ClkCycle:         47, pc_rdata: 000000a8, pc_wdata: 000000ac, insn: 039dd793, mode: 3, rs1_addr: 27, rs1_rdata: 0000000000000000, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         48, pc_rdata: 000000ac, pc_wdata: 000000b0, insn: 00fe6e33, mode: 3, rs1_addr: 28, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr: 28, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         49, pc_rdata: 000000b0, pc_wdata: 000000b4, insn: 007e5e93, mode: 3, rs1_addr: 28, rs1_rdata: 0000000000000000, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr: 29, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         50, pc_rdata: 000000b4, pc_wdata: 000000b8, insn: 039e5793, mode: 3, rs1_addr: 28, rs1_rdata: 0000000000000000, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         51, pc_rdata: 000000b8, pc_wdata: 000000bc, insn: 00feeeb3, mode: 3, rs1_addr: 29, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr: 29, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         52, pc_rdata: 000000bc, pc_wdata: 000000c0, insn: 007edf13, mode: 3, rs1_addr: 29, rs1_rdata: 0000000000000000, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr: 30, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         53, pc_rdata: 000000c0, pc_wdata: 000000c4, insn: 039ed793, mode: 3, rs1_addr: 29, rs1_rdata: 0000000000000000, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         54, pc_rdata: 000000c4, pc_wdata: 000000c8, insn: 00ff6f33, mode: 3, rs1_addr: 30, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr: 30, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         55, pc_rdata: 000000c8, pc_wdata: 000000cc, insn: feedc0b7, mode: 3, rs1_addr: 27, rs1_rdata: 0000000000000000, rs2_addr: 14, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: fffffffffeedc000, mem_addr: feedc000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         56, pc_rdata: 000000cc, pc_wdata: 000000d0, insn: ead08093, mode: 3, rs1_addr:  1, rs1_rdata: 0000000000000000, rs2_addr: 13, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: fffffffffeedbead, mem_addr: feedbead, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         57, pc_rdata: 000000d0, pc_wdata: 000000d4, insn: 00b09093, mode: 3, rs1_addr:  1, rs1_rdata: 0000000000000000, rs2_addr: 11, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: 000000006df56800, mem_addr: 6df56800, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         58, pc_rdata: 000000d4, pc_wdata: 000000d8, insn: 7f708093, mode: 3, rs1_addr:  1, rs1_rdata: fffffffffeedc000, rs2_addr: 23, rs2_rdata: 0000000000003ead, rd_addr:  1, rd_wdata: 000000006df56ff7, mem_addr: 6df56ff7, mem_rdata: 0000000000000000, mem_wdata: 0000000000003ead
ClkCycle:         59, pc_rdata: 000000d8, pc_wdata: 000000dc, insn: 00b09093, mode: 3, rs1_addr:  1, rs1_rdata: fffffffffeedbead, rs2_addr: 11, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: ffffffffab7fb800, mem_addr: ab7fb800, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         60, pc_rdata: 000000dc, pc_wdata: 000000e0, insn: 36f08093, mode: 3, rs1_addr:  1, rs1_rdata: 000000006df56800, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: ffffffffab7fbb6f, mem_addr: ab7fbb6f, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         61, pc_rdata: 000000e0, pc_wdata: 000000e4, insn: 00a09093, mode: 3, rs1_addr:  1, rs1_rdata: 000000006df56ff7, rs2_addr: 10, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: fffffffffeedbc00, mem_addr: feedbc00, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         62, pc_rdata: 000000e4, pc_wdata: 000000e8, insn: 2ad08093, mode: 3, rs1_addr:  1, rs1_rdata: ffffffffab7fb800, rs2_addr: 13, rs2_rdata: 0000000000000000, rd_addr:  1, rd_wdata: fffffffffeedbead, mem_addr: feedbead, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         63, pc_rdata: 000000e8, pc_wdata: 000000ec, insn: 0070d113, mode: 3, rs1_addr:  1, rs1_rdata: ffffffffab7fbb6f, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  2, rd_wdata: 000000005bfddb7d, mem_addr: 5bfddb7d, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         64, pc_rdata: 000000ec, pc_wdata: 000000f0, insn: 0390d793, mode: 3, rs1_addr:  1, rs1_rdata: fffffffffeedbc00, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 000000000000007f, mem_addr: 0000007f, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         65, pc_rdata: 000000f0, pc_wdata: 000000f4, insn: 00f16133, mode: 3, rs1_addr:  2, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  2, rd_wdata: 000000005bfddb7f, mem_addr: 5bfddb7f, mem_rdata: 0000000000000000, mem_wdata: 000000000000007f
ClkCycle:         66, pc_rdata: 000000f4, pc_wdata: 000000f8, insn: 00715193, mode: 3, rs1_addr:  2, rs1_rdata: 000000005bfddb7d, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  3, rd_wdata: fffffffffab7fbb6, mem_addr: fab7fbb6, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         67, pc_rdata: 000000f8, pc_wdata: 000000fc, insn: 03915793, mode: 3, rs1_addr:  2, rs1_rdata: 000000005bfddb7d, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         68, pc_rdata: 000000fc, pc_wdata: 00000100, insn: 00f1e1b3, mode: 3, rs1_addr:  3, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 000000000000007f, rd_addr:  3, rd_wdata: fffffffffab7fbb6, mem_addr: fab7fbb6, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         69, pc_rdata: 00000100, pc_wdata: 00000104, insn: 0071d213, mode: 3, rs1_addr:  3, rs1_rdata: fffffffffab7fbb6, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  4, rd_wdata: 000000006df56ff7, mem_addr: 6df56ff7, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         70, pc_rdata: 00000104, pc_wdata: 00000108, insn: 0391d793, mode: 3, rs1_addr:  3, rs1_rdata: fffffffffab7fbb6, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         71, pc_rdata: 00000108, pc_wdata: 0000010c, insn: 00f26233, mode: 3, rs1_addr:  4, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  4, rd_wdata: 000000006df56ff7, mem_addr: 6df56ff7, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         72, pc_rdata: 0000010c, pc_wdata: 00000110, insn: 00725293, mode: 3, rs1_addr:  4, rs1_rdata: 000000006df56ff7, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  5, rd_wdata: ffffffffeedbeadf, mem_addr: eedbeadf, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         73, pc_rdata: 00000110, pc_wdata: 00000114, insn: 03925793, mode: 3, rs1_addr:  4, rs1_rdata: 000000006df56ff7, rs2_addr: 25, rs2_rdata: 0000000000000000, rd_addr: 15, rd_wdata: 0000000000000000, mem_addr: 00000000, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         74, pc_rdata: 00000114, pc_wdata: 00000118, insn: 00f2e2b3, mode: 3, rs1_addr:  5, rs1_rdata: 0000000000000000, rs2_addr: 15, rs2_rdata: 0000000000000000, rd_addr:  5, rd_wdata: ffffffffeedbeadf, mem_addr: eedbeadf, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
ClkCycle:         75, pc_rdata: 00000118, pc_wdata: 0000011c, insn: 0072d313, mode: 3, rs1_addr:  5, rs1_rdata: ffffffffeedbeadf, rs2_addr:  7, rs2_rdata: 0000000000000000, rd_addr:  6, rd_wdata: 000000001fddb7d5, mem_addr: 1fddb7d5, mem_rdata: 0000000000000000, mem_wdata: 0000000000000000
